Problema;Algoritmo;bhv;hv;gd;igd;igdp;bspread;spread
ZDT3;NSGAII;0.5171918715;0.5087664310;0.0002075844;0.0001530068;0.0041033767;0.0000000000;0.8163624218
ZDT3;MyNSGAII;0.5171918715;0.5157122295;0.0000687277;0.0000492199;0.0010094695;0.0000000000;0.7915318615
ZDT3;NSGAII;0.5171918715;0.5087968738;0.0002165552;0.0001456999;0.0040634563;0.0000000000;0.7999045557
ZDT3;MyNSGAII;0.5171918715;0.5158224218;0.0000647481;0.0000478404;0.0009387001;0.0000000000;0.7968131774
ZDT3;NSGAII;0.5171918715;0.5080566024;0.0002434247;0.0001604541;0.0043675520;0.0000000000;0.7990208938
ZDT3;MyNSGAII;0.5171918715;0.5156670213;0.0000642682;0.0000491103;0.0010256684;0.0000000000;0.7900449260
ZDT3;NSGAII;0.5171918715;0.5077628712;0.0002535884;0.0001762548;0.0048055760;0.0000000000;0.8039478680
ZDT3;MyNSGAII;0.5171918715;0.5158156704;0.0000641141;0.0000469959;0.0009974304;0.0000000000;0.7885455426
ZDT3;NSGAII;0.5171918715;0.5094293583;0.0002082671;0.0001422096;0.0039240232;0.0000000000;0.8124084178
ZDT3;MyNSGAII;0.5171918715;0.5159187506;0.0000618380;0.0000514969;0.0009863543;0.0000000000;0.8076118727
ZDT3;NSGAII;0.5171918715;0.5088312194;0.0002080462;0.0001435063;0.0039483131;0.0000000000;0.8057204427
ZDT3;MyNSGAII;0.5171918715;0.5158802448;0.0000643326;0.0000462000;0.0010079024;0.0000000000;0.7824860520
ZDT3;NSGAII;0.5171918715;0.5090196641;0.0002157357;0.0001473507;0.0040537349;0.0000000000;0.8081901194
ZDT3;MyNSGAII;0.5171918715;0.5156694671;0.0000648831;0.0000480471;0.0010288027;0.0000000000;0.7943174280
ZDT3;NSGAII;0.5171918715;0.5069072958;0.0002335400;0.0001746874;0.0046066984;0.0000000000;0.8253403348
ZDT3;MyNSGAII;0.5171918715;0.5154112759;0.0000690331;0.0000507452;0.0010897402;0.0000000000;0.8092242375
ZDT3;NSGAII;0.5171918715;0.5071793355;0.0002724804;0.0001763004;0.0049017949;0.0000000000;0.7967419481
ZDT3;MyNSGAII;0.5171918715;0.5157938040;0.0000636087;0.0000473839;0.0009952827;0.0000000000;0.7927114712
ZDT3;NSGAII;0.5171918715;0.5069371340;0.0002496030;0.0001792646;0.0048240272;0.0000000000;0.8097422919
ZDT3;MyNSGAII;0.5171918715;0.5158049959;0.0000619412;0.0000463274;0.0009930944;0.0000000000;0.7819125384
ZDT3;NSGAII;0.5171918715;0.5088893026;0.0002235558;0.0001468198;0.0040237147;0.0000000000;0.7896360693
ZDT3;MyNSGAII;0.5171918715;0.5155862882;0.0000663909;0.0000502458;0.0010902906;0.0000000000;0.7975243735
ZDT3;NSGAII;0.5171918715;0.5065482568;0.0002523948;0.0001869859;0.0050489570;0.0000000000;0.8059739955
ZDT3;MyNSGAII;0.5171918715;0.5160287666;0.0000574946;0.0000438272;0.0008949252;0.0000000000;0.7802524578
ZDT3;NSGAII;0.5171918715;0.5063882016;0.0002783004;0.0002050573;0.0055711425;0.0000000000;0.8054886461
ZDT3;MyNSGAII;0.5171918715;0.5153439795;0.0000623840;0.0000506844;0.0011170462;0.0000000000;0.8039311283
ZDT3;NSGAII;0.5171918715;0.5080671972;0.0002336915;0.0001612027;0.0043845691;0.0000000000;0.8082721690
ZDT3;MyNSGAII;0.5171918715;0.5157161631;0.0000630734;0.0000477113;0.0010306332;0.0000000000;0.7954717812
ZDT3;NSGAII;0.5171918715;0.5077153279;0.0002406425;0.0001628971;0.0045302370;0.0000000000;0.8126774194
ZDT3;MyNSGAII;0.5171918715;0.5158774780;0.0000626921;0.0000444170;0.0009182738;0.0000000000;0.7871599828
ZDT3;NSGAII;0.5171918715;0.5084453089;0.0002218470;0.0001480560;0.0041360197;0.0000000000;0.7966274951
ZDT3;MyNSGAII;0.5171918715;0.5157801433;0.0000593946;0.0000467338;0.0009942819;0.0000000000;0.7978769757
ZDT3;NSGAII;0.5171918715;0.5065154329;0.0002651695;0.0001873031;0.0051653556;0.0000000000;0.8210701661
ZDT3;MyNSGAII;0.5171918715;0.5157675814;0.0000663167;0.0000496794;0.0009862410;0.0000000000;0.8048557553
ZDT3;NSGAII;0.5171918715;0.5071461523;0.0002606004;0.0001750550;0.0048526590;0.0000000000;0.8265750265
ZDT3;MyNSGAII;0.5171918715;0.5155405155;0.0000662666;0.0000515097;0.0011077545;0.0000000000;0.8082857287
ZDT3;NSGAII;0.5171918715;0.5080808207;0.0002385868;0.0001670808;0.0046017440;0.0000000000;0.8017273630
